num,hex
0,0000384444443800
1,00000004fe000000
2,0000087c0004fe00
3,0004fe007c00fe00
4,00feaaaace82fe00
5,007c107c2444fe00
6,0010fe0044448200
7,00202ef020201e00
8,0078084844448600
9,2020f048488a8e00
10,4848a84878487800
