num,hex
0,eca4ec0478487800
1,f494f400f8787c00
2,0424545454240400
3,2426548c7c447c00
4,24242456548c0400
5,3844443810fe0000
6,3048fe48fc040400
7,64f46494fc7c7e00
8,f456f400fc7c7e00
9,7c040404fe101000
10,48a8084878487800
