num,hex
0,0000103810000000
1,2020202010101000
2,2424382010101000
3,2a2a3c2010101000
4,1c20201c20201c00
5,0000182424180000
6,003c040404040400
7,4444442828101000
8,1010282844444400
9,1824241c04040400
